doc;query_id;label;;
doc_1176;Q1;1;;
doc_45;Q1;1;;
doc_3600;Q1;1;;
doc_2448;Q1;1;;
doc_1423;Q1;1;;
doc_2293;Q1;1;;
doc_2343;Q1;1;;
doc_1980;Q1;1;;
doc_3612;Q1;1;;
doc_2566;Q1;1;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_;Q1;0;;
doc_313;Q2;1;;
doc_178;Q2;1;;
doc_426;Q2;1;;
doc_486;Q2;1;;
doc_354;Q2;1;;
doc_3361;Q2;1;;
doc_3883;Q2;1;;
doc_425;Q2;1;;
doc_288;Q2;1;;
doc_210;Q2;1;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_;Q2;0;;
doc_6;Q3;1;;
doc_41;Q3;1;;
doc_466;Q3;1;;
doc_459;Q3;1;;
doc_267;Q3;1;;
doc_434;Q3;1;;
doc_451;Q3;1;;
doc_101;Q3;1;;
doc_409;Q3;1;;
doc_442;Q3;1;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_;Q3;0;;
doc_282;Q4;1;;
doc_3301;Q4;1;;
doc_3822;Q4;1;;
doc_3685;Q4;1;;
doc_3859;Q4;1;;
doc_2945;Q4;1;;
doc_3627;Q4;1;;
doc_2929;Q4;1;;
doc_3920;Q4;1;;
doc_3652;Q4;1;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_;Q4;0;;
doc_1578;Q5;1;;
doc_898;Q5;1;;
doc_1055;Q5;1;;
doc_2059;Q5;1;;
doc_2091;Q5;1;;
doc_2322;Q5;1;;
doc_1815;Q5;1;;
doc_2269;Q5;1;;
doc_1700;Q5;1;;
doc_1795;Q5;1;;
doc_;Q5;0;;
doc_;Q5;0;;
doc_;Q5;0;;
doc_;Q5;0;;
doc_;Q5;0;;
doc_;Q5;0;;
doc_;Q5;0;;
doc_;Q5;0;;
doc_;Q5;0;;
doc_;Q5;0;;
